instant,dateday,season,year,month,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,count
185,2011-07-04,Fall,2011,July,1,Monday,0,2,50082.61630699999,83177.12500000001,637917.0,24505.928629600003,3065,2978,6043
186,2011-07-05,Fall,2011,July,0,Tuesday,1,1,51461.036306999995,87042.25000000001,590417.0,37973.734854,1031,3634,4665
187,2011-07-06,Fall,2011,July,0,Wednesday,1,1,49623.119999999995,85704.125,743333.0000000001,45079.260729,784,3845,4629
188,2011-07-07,Fall,2011,July,0,Thursday,1,1,51690.75,85858.875,651250.0,47881.469600000004,754,3838,4592
189,2011-07-08,Fall,2011,July,0,Friday,1,2,48876.498807,83810.37500000001,757916.9999999999,67710.473427,692,3348,4040
190,2011-07-09,Fall,2011,July,0,Saturday,0,1,50542.04369300001,83019.75000000001,609167.0,50501.716856,1988,3348,5336
191,2011-07-10,Fall,2011,July,0,Sunday,0,1,51518.4475,86253.125,578333.0,55181.288372999996,1743,3138,4881
192,2011-07-11,Fall,2011,July,0,Monday,1,1,52552.262500000004,91225.5,635833.0,84916.523131,723,3363,4086
193,2011-07-12,Fall,2011,July,0,Tuesday,1,1,54734.78380699999,92409.37499999999,559167.0,60228.99380199999,662,3596,4258
194,2011-07-13,Fall,2011,July,0,Wednesday,1,1,51461.036306999995,86175.5,631667.0,43951.39947900001,748,3594,4342
195,2011-07-14,Fall,2011,July,0,Thursday,1,1,46923.691193000006,79388.0,476250.0,72383.728921,888,4196,5084
196,2011-07-15,Fall,2011,July,0,Friday,1,1,45717.573693,78046.375,591250.0000000001,54989.401579,1318,4220,5538
197,2011-07-16,Fall,2011,July,0,Saturday,0,1,47325.776307,79782.875,585000.0,62661.564946000006,2418,3505,5923
198,2011-07-17,Fall,2011,July,0,Sunday,0,1,49565.708806999995,83729.125,604167.0,73696.86017900001,2006,3296,5302
199,2011-07-18,Fall,2011,July,0,Monday,1,1,51461.036306999995,87990.625,651250.0,64905.858452,841,3617,4458
200,2011-07-19,Fall,2011,July,0,Tuesday,1,1,53528.666307,93434.875,650417.0000000001,39279.6478,752,3789,4541
201,2011-07-20,Fall,2011,July,0,Wednesday,1,1,52954.278693,93356.25,707083.0000000001,34231.942371,644,3688,4332
202,2011-07-21,Fall,2011,July,0,Thursday,1,2,56170.615,103296.37500000001,691250.0,66775.70202299999,632,3152,3784
203,2011-07-22,Fall,2011,July,0,Friday,1,1,58467.958693,105112.00000000001,580417.0,40031.5553,562,2825,3387
204,2011-07-23,Fall,2011,July,0,Saturday,0,1,58525.438807,100535.87499999999,500000.0,39466.421623,987,2298,3285
205,2011-07-24,Fall,2011,July,0,Sunday,0,1,57204.43,99353.625,550833.0,50880.37747299999,1050,2556,3606
206,2011-07-25,Fall,2011,July,0,Monday,1,1,51231.253693000006,90119.75,757082.9999999999,27311.776732899998,568,3272,3840
207,2011-07-26,Fall,2011,July,0,Tuesday,1,1,53184.061307,87122.37500000001,540833.0,60230.196853999994,750,3840,4590
208,2011-07-27,Fall,2011,July,0,Wednesday,1,1,53413.775,86333.375,402917.00000000006,55178.882268999994,755,3901,4656
209,2011-07-28,Fall,2011,July,0,Thursday,1,1,53700.968807000005,92487.49999999999,583333.0,53679.879477,606,3784,4390
210,2011-07-29,Fall,2011,July,0,Friday,1,1,57778.748693,98245.875,542500.0,52374.267294,670,3176,3846
211,2011-07-30,Fall,2011,July,0,Saturday,0,1,55423.993807,91067.12500000001,465833.0,50689.693731,1559,2916,4475
212,2011-07-31,Fall,2011,July,0,Sunday,0,1,55538.816193,91224.50000000001,480833.0,49569.652319,1524,2778,4302
213,2011-08-01,Fall,2011,August,0,Monday,1,1,53184.061307,87911.5,550833.0,47134.675071,729,3537,4266
214,2011-08-02,Fall,2011,August,0,Tuesday,1,1,53988.093692999995,88383.875,491250.0,61912.06355,801,4044,4845
215,2011-08-03,Fall,2011,August,0,Wednesday,1,2,50427.221307,84992.12500000001,657500.0,40778.349829,467,3107,3574
216,2011-08-04,Fall,2011,August,0,Thursday,1,2,48933.909999999996,83098.50000000001,757500.0,59295.42545,799,3777,4576
217,2011-08-05,Fall,2011,August,0,Friday,1,1,48991.32119300001,82070.875,630832.9999999999,55549.723048,1023,3843,4866
218,2011-08-06,Fall,2011,August,0,Saturday,0,2,49393.406307000005,84519.25000000001,755000.0,68649.15475,1521,2773,4294
219,2011-08-07,Fall,2011,August,0,Sunday,0,1,51173.842500000006,89411.5,752916.9999999999,60599.834581,1298,2487,3785
220,2011-08-08,Fall,2011,August,0,Monday,1,1,52724.565,87910.375,592083.0,57799.129525000004,846,3480,4326
221,2011-08-09,Fall,2011,August,0,Tuesday,1,1,53413.775,90515.12499999999,570416.9999999999,45451.605322999996,907,3695,4602
222,2011-08-10,Fall,2011,August,0,Wednesday,1,1,52839.45630699999,85622.875,424167.0,60230.196853999994,884,3896,4780
223,2011-08-11,Fall,2011,August,0,Thursday,1,1,49450.817500000005,81440.125,423750.0,49564.539348000006,812,3980,4792
224,2011-08-12,Fall,2011,August,0,Friday,1,1,48819.018693000005,81755.25,415000.0,37782.148823,1051,3854,4905
225,2011-08-13,Fall,2011,August,0,Saturday,0,2,47268.296193,80732.25000000001,729582.9999999999,63597.539401999995,1504,2646,4150
226,2011-08-14,Fall,2011,August,0,Sunday,0,2,46636.566307,78048.50000000001,817500.0,66959.768979,1338,2482,3820
227,2011-08-15,Fall,2011,August,0,Monday,1,1,45889.876193,77020.875,712083.0000000001,62845.631902,775,3563,4338
228,2011-08-16,Fall,2011,August,0,Tuesday,1,1,48302.111193000004,80729.62499999999,578333.0,71079.019027,721,4004,4725
229,2011-08-17,Fall,2011,August,0,Wednesday,1,1,49852.833693,83333.87500000001,575417.0,43209.717920999996,668,4026,4694
230,2011-08-18,Fall,2011,August,0,Thursday,1,1,49048.801307,82782.25000000001,654583.0000000001,70140.33770399999,639,3166,3805
231,2011-08-19,Fall,2011,August,0,Friday,1,2,47210.885,79152.62500000001,722917.0000000001,41898.69200399999,797,3356,4153
232,2011-08-20,Fall,2011,August,0,Saturday,0,1,48072.3975,81124.50000000001,674166.9999999999,31419.808321,1914,3277,5191
233,2011-08-21,Fall,2011,August,0,Sunday,0,1,48991.32119300001,84440.62500000001,770000.0,74815.999302,1249,2624,3873
234,2011-08-22,Fall,2011,August,0,Monday,1,1,47670.381307,79781.75,470000.0,83236.16024999999,833,3925,4758
235,2011-08-23,Fall,2011,August,0,Tuesday,1,1,44166.851192999995,75758.375,455417.0,44140.880169000004,1281,4614,5895
236,2011-08-24,Fall,2011,August,0,Wednesday,1,1,46406.78369299999,78836.5,605000.0,76125.521404,949,4181,5130
237,2011-08-25,Fall,2011,August,0,Thursday,1,2,47153.473806999995,80731.75000000001,771667.0000000001,63410.76557899999,435,3107,3542
238,2011-08-26,Fall,2011,August,0,Friday,1,1,48244.700000000004,82466.625,761250.0,25252.8133875,768,3893,4661
239,2011-08-27,Fall,2011,August,0,Saturday,0,2,46866.280000000006,79444.5,850000.0,112971.695771,226,889,1115
240,2011-08-28,Fall,2011,August,0,Sunday,0,1,48731.213338999994,80994.87499999999,561765.0,91630.154817,1415,2919,4334
241,2011-08-29,Fall,2011,August,0,Monday,1,1,43879.726307000004,75994.75,554583.0000000001,48069.446475000004,729,3905,4634
242,2011-08-30,Fall,2011,August,0,Tuesday,1,1,44052.02880700001,74338.0,548332.9999999999,37597.781104,775,4429,5204
243,2011-08-31,Fall,2011,August,0,Wednesday,1,1,45258.146306999995,76390.12500000001,597917.0000000001,25063.5733079,688,4370,5058
244,2011-09-01,Fall,2011,September,0,Thursday,1,1,45143.255000000005,76865.12500000001,639167.0000000001,42646.990348,783,4332,5115
245,2011-09-02,Fall,2011,September,0,Friday,1,2,44339.153693,75601.0,727083.0000000001,42085.46582699999,875,3852,4727
246,2011-09-03,Fall,2011,September,0,Saturday,0,1,46119.658807,79151.625,716667.0000000001,55738.902975,1935,2549,4484
247,2011-09-04,Fall,2011,September,0,Sunday,0,1,48876.498807,83178.625,742083.0000000001,62097.634321000005,2521,2419,4940
248,2011-09-05,Fall,2011,September,1,Monday,0,2,46406.78369299999,78205.75000000001,790417.0000000001,63971.087047999994,1236,2115,3351
249,2011-09-06,Fall,2011,September,0,Tuesday,1,3,37217.340000000004,64400.0,886957.0,103445.32850899998,204,2506,2710
250,2011-09-07,Fall,2011,September,0,Wednesday,1,3,41295.188807,68028.625,917083.0,29180.266870400003,118,1878,1996
251,2011-09-08,Fall,2011,September,0,Thursday,1,3,43689.917873,69420.125,939565.0000000001,57971.466724,153,1689,1842
252,2011-09-09,Fall,2011,September,0,Friday,1,2,44798.65,72368.25,897916.9999999998,37408.601177000004,417,3127,3544
253,2011-09-10,Fall,2011,September,0,Saturday,0,1,45487.86,75995.25,753750.0,46199.60290400001,1750,3595,5345
254,2011-09-11,Fall,2011,September,0,Sunday,0,1,45028.36369300001,76153.625,713750.0,34603.986202,1633,3413,5046
255,2011-09-12,Fall,2011,September,0,Monday,1,1,44409.108508000005,75266.25000000001,692174.0,26741.740619000004,690,4023,4713
256,2011-09-13,Fall,2011,September,0,Tuesday,1,1,44856.061192999994,75444.25,712500.0,42649.396452,701,4062,4763
257,2011-09-14,Fall,2011,September,0,Wednesday,1,1,46406.78369299999,78362.5,697082.9999999999,50317.6499,647,4138,4785
258,2011-09-15,Fall,2011,September,0,Thursday,1,2,39801.8775,69208.875,709167.0000000001,81550.68439800001,428,3231,3659
259,2011-09-16,Fall,2011,September,0,Friday,1,2,32335.458807,57684.375,590417.0,49380.171629,742,4018,4760
260,2011-09-17,Fall,2011,September,0,Saturday,0,2,33886.181307,59814.0,718332.9999999999,57047.222025,1434,3077,4511
261,2011-09-18,Fall,2011,September,0,Sunday,0,1,34977.407499999994,61317.125,695000.0,53681.082529,1353,2921,4274
262,2011-09-19,Fall,2011,September,0,Monday,1,2,37849.138806999996,66209.375,690000.0,45638.37914599999,691,3848,4539
263,2011-09-20,Fall,2011,September,0,Tuesday,1,2,38710.651307,66527.12500000001,881250.0,40589.169901999994,438,3203,3641
264,2011-09-21,Fall,2011,September,0,Wednesday,1,2,41007.994999999995,68816.62500000001,900000.0,28994.8164046,539,3813,4352
265,2011-09-22,Fall,2011,September,0,Thursday,1,2,43305.338693000005,69370.375,902083.0,38535.259374999994,555,4240,4795
266,2011-09-23,Winter,2011,September,0,Friday,1,2,41984.398807000005,65265.624999999985,972500.0,23569.8037921,258,2137,2395
267,2011-09-24,Winter,2011,September,0,Saturday,0,2,41812.096307,70551.5,862500.0,23574.7964579,1776,3647,5423
268,2011-09-25,Winter,2011,September,0,Sunday,0,2,43707.423807,71579.62499999999,845000.0,15152.199329600002,1544,3466,5010
269,2011-09-26,Winter,2011,September,0,Monday,1,2,44741.238807,73630.24999999999,848333.0,33294.4641,684,3946,4630
270,2011-09-27,Winter,2011,September,0,Tuesday,1,2,43879.726307000004,71815.62499999999,885417.0,35541.464473,477,3643,4120
271,2011-09-28,Winter,2011,September,0,Wednesday,1,2,43764.835,71894.74999999999,848750.0,44702.103927000004,480,3427,3907
272,2011-09-29,Winter,2011,September,0,Thursday,1,1,42501.306307,71814.0,699166.9999999999,51996.80972900001,653,4186,4839
273,2011-09-30,Winter,2011,September,0,Friday,1,1,38882.953807,68103.625,647500.0,62100.040425,830,4372,5202
274,2011-10-01,Winter,2011,October,0,Saturday,0,2,28257.609999999997,51607.875,753750.0,87911.821848,480,1949,2429
275,2011-10-02,Winter,2011,October,0,Sunday,0,2,24581.846307,43164.625,791667.0000000001,66773.295919,616,2302,2918
276,2011-10-03,Winter,2011,October,0,Monday,1,2,26477.173807,49005.75,760832.9999999999,25067.3328454,330,3240,3570
277,2011-10-04,Winter,2011,October,0,Tuesday,1,1,33369.273807000005,59107.25,710000.0,61913.266602,486,3970,4456
278,2011-10-05,Winter,2011,October,0,Wednesday,1,1,37102.448693,65892.25,647916.9999999999,53310.24175,559,4267,4826
279,2011-10-06,Winter,2011,October,0,Thursday,1,1,34058.483807000004,60053.125,620832.9999999999,40589.169901999994,639,4126,4765
280,2011-10-07,Winter,2011,October,0,Friday,1,1,35207.121193,63050.5,684166.9999999999,6734.594867100001,949,4036,4985
281,2011-10-08,Winter,2011,October,0,Saturday,0,1,35953.811307,64155.25,701250.0,13655.9034046,2235,3174,5409
282,2011-10-09,Winter,2011,October,0,Sunday,0,1,37274.751193,65497.875,727500.0,19083.412350000002,2397,3114,5511
283,2011-10-10,Winter,2011,October,1,Monday,0,1,39342.381193,67865.625,733750.0,12723.5381046,1514,3603,5117
284,2011-10-11,Winter,2011,October,0,Tuesday,1,2,39055.256307,68262.0,808750.0,43021.741046,667,3896,4563
285,2011-10-12,Winter,2011,October,0,Wednesday,1,3,37447.053693,64714.62499999999,906250.0,74634.33845,217,2199,2416
286,2011-10-13,Winter,2011,October,0,Thursday,1,2,40605.97880700001,68975.5,896667.0,42644.283481,290,2623,2913
287,2011-10-14,Winter,2011,October,0,Friday,1,2,37963.961193,66209.375,716250.0,67335.722729,529,3115,3644
288,2011-10-15,Winter,2011,October,0,Saturday,0,1,34919.996306999994,62340.624999999985,483333.0,77621.81732900001,1899,3318,5217
289,2011-10-16,Winter,2011,October,0,Sunday,0,1,35264.601307,62894.25,486667.0,84730.050071,1748,3293,5041
290,2011-10-17,Winter,2011,October,0,Monday,1,1,36815.323807,63840.625,579582.9999999999,52747.514177000005,713,3857,4570
291,2011-10-18,Winter,2011,October,0,Tuesday,1,2,36700.432499999995,65340.125,701667.0000000001,33110.096381,637,4111,4748
292,2011-10-19,Winter,2011,October,0,Wednesday,1,3,37337.193619000005,64230.99999999999,895217.0000000002,73187.367657,254,2170,2424
293,2011-10-20,Winter,2011,October,0,Thursday,1,1,32794.886193000006,58315.625,636250.0,127004.69582500002,471,3724,4195
294,2011-10-21,Winter,2011,October,0,Friday,1,1,29463.727499999997,52949.5,574167.0,66587.725148,676,3628,4304
295,2011-10-22,Winter,2011,October,0,Saturday,0,1,29119.122499999998,53186.5,629167.0000000001,27870.714692100002,1499,2809,4308
296,2011-10-23,Winter,2011,October,0,Sunday,0,1,29061.711307000005,52791.625,741250.0,29929.6780375,1619,2762,4381
297,2011-10-24,Winter,2011,October,0,Monday,1,1,31933.373692999998,57133.375,772082.9999999999,35728.238296,699,3488,4187
298,2011-10-25,Winter,2011,October,0,Tuesday,1,1,32507.761306999997,57921.875,622917.0000000001,50124.560053999994,695,3992,4687
299,2011-10-26,Winter,2011,October,0,Wednesday,1,2,33369.273807000005,59105.75,720416.9999999999,44706.013845999994,404,3490,3894
300,2011-10-27,Winter,2011,October,0,Thursday,1,2,32392.87,57130.75,812917.0000000001,59479.793169,240,2419,2659
301,2011-10-28,Winter,2011,October,0,Friday,1,2,22801.341193,39851.5,585833.0000000001,69018.79247700001,456,3291,3747
302,2011-10-29,Winter,2011,October,0,Saturday,0,3,17517.443806999996,28489.125,882500.0,105679.39607300001,57,570,627
303,2011-10-30,Winter,2011,October,0,Sunday,0,1,21997.308807,40166.125,623750.0,53119.858771,885,2446,3331
304,2011-10-31,Winter,2011,October,0,Monday,1,1,23433.140000000003,44507.87500000001,703332.9999999999,31986.14505,362,3307,3669
305,2011-11-01,Winter,2011,November,0,Tuesday,1,1,27625.811192999998,49635.99999999999,683750.0,40774.740673,410,3658,4068
306,2011-11-02,Winter,2011,November,0,Wednesday,1,1,26017.677499999998,48766.625,718750.0,24690.1459671,370,3816,4186
307,2011-11-03,Winter,2011,November,0,Thursday,1,1,28142.718693000003,50740.12499999999,702083.0000000001,41149.491371000004,318,3656,3974
308,2011-11-04,Winter,2011,November,0,Friday,1,2,27798.113693000003,50423.99999999999,622500.0000000001,81741.067377,470,3576,4046
309,2011-11-05,Winter,2011,November,0,Saturday,0,1,22514.216307,40481.74999999999,519167.0000000001,56862.854305999994,1156,2770,3926
310,2011-11-06,Winter,2011,November,0,Sunday,0,1,24007.458693,45294.75000000001,734582.9999999999,27686.497354600004,952,2697,3649
311,2011-11-07,Winter,2011,November,0,Monday,1,1,27223.795000000002,50108.875,758750.0,17211.162675,373,3662,4035
312,2011-11-08,Winter,2011,November,0,Tuesday,1,1,28142.718693000003,51530.75,721666.9999999999,20763.9256125,376,3829,4205
313,2011-11-09,Winter,2011,November,0,Wednesday,1,1,27568.400000000005,51134.87500000001,758333.0000000001,18706.195395400002,305,3804,4109
314,2011-11-10,Winter,2011,November,0,Thursday,1,2,26189.98,46715.12500000001,813332.9999999999,56864.358121000005,190,2743,2933
315,2011-11-11,Winter,2011,November,1,Friday,0,1,22341.913806999997,38352.125,446250.0,94642.597025,440,2928,3368
316,2011-11-12,Winter,2011,November,0,Saturday,0,1,24581.846307,44742.74999999999,552917.0,63780.403306,1275,2792,4067
317,2011-11-13,Winter,2011,November,0,Sunday,0,1,30382.651192999998,53818.75,458333.0,84731.253123,1004,2713,3717
318,2011-11-14,Winter,2011,November,0,Monday,1,1,36528.130000000005,65576.5,587083.0,92212.732748,595,3891,4486
319,2011-11-15,Winter,2011,November,0,Tuesday,1,2,36528.130000000005,63447.375,688750.0,60042.219978999994,449,3746,4195
320,2011-11-16,Winter,2011,November,0,Wednesday,1,3,31473.946307000002,56498.5,930000.0,41153.100526999995,145,1672,1817
321,2011-11-17,Winter,2011,November,0,Thursday,1,2,23548.031306999997,40402.625,575833.0,91841.59120600001,139,2914,3053
322,2011-11-18,Winter,2011,November,0,Friday,1,1,18895.863807,34090.125,410000.0,50688.490678999995,245,3147,3392
323,2011-11-19,Winter,2011,November,0,Saturday,0,1,22686.518806999997,40560.37500000001,502082.9999999999,67520.090448,943,2720,3663
324,2011-11-20,Winter,2011,November,0,Sunday,0,2,31933.373692999998,57132.25,684583.0000000001,55926.87985,787,2733,3520
325,2011-11-21,Winter,2011,November,0,Monday,1,3,30842.147500000003,55632.75,910000.0,41521.53520200001,220,2545,2765
326,2011-11-22,Winter,2011,November,0,Tuesday,1,3,28717.106307000002,52712.0,962500.0,35728.238296,69,1538,1607
327,2011-11-23,Winter,2011,November,0,Wednesday,1,2,30382.651192999998,53817.125,757916.9999999999,101003.734475,112,2454,2566
328,2011-11-24,Winter,2011,November,1,Thursday,0,1,25730.483693,46558.87500000001,549167.0,50318.85295200001,560,935,1495
329,2011-11-25,Winter,2011,November,0,Friday,1,1,25845.375,47583.87499999999,643750.0,29744.197495400003,1095,1697,2792
330,2011-11-26,Winter,2011,November,0,Saturday,0,1,25902.786193,48135.87500000001,681667.0000000001,20578.445070399997,1249,1819,3068
331,2011-11-27,Winter,2011,November,0,Sunday,0,1,31646.248807,56975.0,698332.9999999999,62845.631902,810,2261,3071
332,2011-11-28,Winter,2011,November,0,Monday,1,1,34700.207237999995,61265.25,743042.9999999999,42745.039086,253,3614,3867
333,2011-11-29,Winter,2011,November,0,Tuesday,1,2,31588.768692999998,56421.875,830833.0000000002,77624.524196,96,2818,2914
334,2011-11-30,Winter,2011,November,0,Wednesday,1,1,22399.325,38902.62500000001,613333.0,81554.293554,188,3425,3613
335,2011-12-01,Winter,2011,December,0,Thursday,1,1,21537.8125,38194.25,524583.0,66215.380554,182,3545,3727
336,2011-12-02,Winter,2011,December,0,Friday,1,1,21652.703807,41429.12499999999,625832.9999999999,30303.075301999997,268,3672,3940
337,2011-12-03,Winter,2011,December,0,Saturday,0,1,20618.888807000003,38825.5,612917.0000000001,28808.072657899997,706,2908,3614
338,2011-12-04,Winter,2011,December,0,Sunday,0,1,22801.341193,43637.50000000001,775832.9999999999,25251.5501829,634,2851,3485
339,2011-12-05,Winter,2011,December,0,Monday,1,2,26591.996193000003,49240.62500000001,827083.0000000002,18709.954932900004,233,3578,3811
340,2011-12-06,Winter,2011,December,0,Tuesday,1,3,31875.962500000005,57050.0,949583.0,69952.360829,126,2468,2594
341,2011-12-07,Winter,2011,December,0,Wednesday,1,3,28257.609999999997,50030.75,970416.9999999998,80055.59152500001,50,655,705
342,2011-12-08,Winter,2011,December,0,Thursday,1,1,18321.476193,32117.25,579999.9999999999,72200.564254,150,3172,3322
343,2011-12-09,Winter,2011,December,0,Friday,1,1,20044.501193,39692.74999999999,695833.0000000001,24878.1228421,261,3359,3620
344,2011-12-10,Winter,2011,December,0,Saturday,0,1,18953.275,33301.5,507499.9999999999,70144.247623,502,2688,3190
345,2011-12-11,Winter,2011,December,0,Sunday,0,1,15220.031192999999,31644.25,490000.0,20013.281317099998,377,2366,2743
346,2011-12-12,Winter,2011,December,0,Monday,1,1,16426.148692999996,33774.5,670833.0000000001,19083.412350000002,143,3167,3310
347,2011-12-13,Winter,2011,December,0,Tuesday,1,1,19470.1825,37642.25,590000.0,42272.239649999996,155,3368,3523
348,2011-12-14,Winter,2011,December,0,Wednesday,1,2,21882.4175,42295.25,663750.0,18334.0011829,178,3562,3740
349,2011-12-15,Winter,2011,December,0,Thursday,1,2,29119.122499999998,51529.625,634167.0000000001,80617.116046,181,3528,3709
350,2011-12-16,Winter,2011,December,0,Friday,1,2,25845.375,44978.125,500417.0,78371.318725,178,3399,3577
351,2011-12-17,Winter,2011,December,0,Saturday,0,2,17804.568693,31171.375,560833.0,73135.636421,275,2464,2739
352,2011-12-18,Winter,2011,December,0,Sunday,0,1,16426.148692999996,30697.375,586250.0000000001,51063.241377000006,220,2211,2431
353,2011-12-19,Winter,2011,December,0,Monday,1,1,19068.166307,35116.625,637499.9999999999,52000.719648,260,3143,3403
354,2011-12-20,Winter,2011,December,0,Tuesday,1,2,26591.996193000003,49556.74999999999,595417.0,18518.218520399998,216,3534,3750
355,2011-12-21,Spring,2011,December,0,Wednesday,1,2,29521.138693,53502.125,858333.0000000002,66588.9282,107,2553,2660
356,2011-12-22,Spring,2011,December,0,Thursday,1,2,29176.533693,53265.125000000015,757500.0,14218.570824999999,227,2841,3068
357,2011-12-23,Spring,2011,December,0,Friday,1,1,25730.483693,47189.125,686250.0,82483.049698,163,2046,2209
358,2011-12-24,Spring,2011,December,0,Saturday,0,1,20848.6025,37405.25,542500.0,57236.401952,155,856,1011
359,2011-12-25,Spring,2011,December,0,Sunday,0,1,18938.319143,34995.125,681304.0000000001,46645.634433,303,451,754
360,2011-12-26,Spring,2011,December,1,Monday,0,1,22174.573619,39441.875,506957.00000000006,72022.211795,430,887,1317
361,2011-12-27,Spring,2011,December,0,Tuesday,1,2,22399.325,40954.125,762500.0,56678.787350000006,103,1059,1162
362,2011-12-28,Spring,2011,December,0,Wednesday,1,1,20616.33873,34996.75,503913.0000000001,88412.59224299998,255,2047,2302
363,2011-12-29,Spring,2011,December,0,Thursday,1,1,17115.358693000002,32986.5,574167.0,35914.711356,254,2169,2423
364,2011-12-30,Spring,2011,December,0,Friday,1,1,21480.401307,39851.5,636667.0,40403.599131,491,2508,2999
